# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.463144227407660421e-03 2.463144227407660421e-03 4.948628125219781647e-03 2.497852503402752701e-03 9.950513348905360989e-01 9.975368270102635826e-01 9.950513348905362099e-01 2.497852503402751400e-03 4.948628125219775575e-03 2.463144227407656518e-03 2.463144227407656518e-03
9.422057688365124625e-03 9.422057688365124625e-03 1.919396009222856109e-02 9.963636709875829667e-03 9.808037437945057446e-01 9.905761516058458893e-01 9.808037437945058556e-01 9.963636709875819258e-03 1.919396009222852292e-02 9.422057688365100339e-03 9.422057688365100339e-03
1.967045155803510970e-02 1.967045155803510970e-02 4.104969800011074033e-02 2.230024390713231802e-02 9.589254388893456715e-01 9.803100692875250655e-01 9.589254388893456715e-01 2.230024390713227292e-02 4.104969800011063624e-02 1.967045155803504725e-02 1.967045155803504725e-02
3.146495290761783248e-02 3.146495290761783248e-02 6.806608760247527534e-02 3.930698517089967897e-02 9.318037587523336773e-01 9.684324522137023328e-01 9.318037587523336773e-01 3.930698517089959571e-02 6.806608760247509493e-02 3.146495290761772146e-02 3.146495290761772146e-02
4.286937099390679407e-02 4.286937099390679407e-02 9.749260567227713281e-02 6.064330817659379508e-02 9.020539742417518214e-01 9.567705821062679750e-01 9.020539742417519324e-01 6.064330817659362161e-02 9.749260567227682750e-02 4.286937099390659284e-02 4.286937099390659284e-02
5.213583689800791593e-02 5.213583689800791593e-02 1.267853744589777787e-01 8.581260268201688912e-02 8.720023783246304561e-01 9.468937107067230130e-01 8.720023783246305671e-01 8.581260268201661157e-02 1.267853744589772791e-01 5.213583689800763837e-02 5.213583689800763837e-02
5.804733577989796417e-02 5.804733577989796417e-02 1.540542768665625895e-01 1.141828580836979495e-01 8.432612466400565276e-01 9.397858515788884981e-01 8.432612466400568607e-01 1.141828580836974499e-01 1.540542768665618956e-01 5.804733577989758947e-02 5.804733577989758947e-02
6.015477786095047019e-02 6.015477786095047019e-02 1.783574539512157997e-01 1.450485793807356760e-01 8.164873280932206656e-01 9.356529914384488222e-01 8.164873280932212207e-01 1.450485793807350099e-01 1.783574539512149393e-01 6.015477786095003304e-02 6.015477786095003304e-02
5.886385986214588001e-02 5.886385986214588001e-02 1.997833536777485486e-01 1.777235446032017774e-01 7.913684338287217956e-01 9.339019053458051944e-01 7.913684338287224618e-01 1.777235446032009447e-01 1.997833536777475494e-01 5.886385986214542898e-02 5.886385986214542898e-02
5.535782347349939986e-02 5.535782347349939986e-02 2.193061579061313937e-01 2.116417469230363890e-01 7.668271006405738000e-01 9.332873800206132886e-01 7.668271006405746881e-01 2.116417469230353066e-01 2.193061579061302835e-01 5.535782347349892107e-02 5.535782347349892107e-02
5.137530109592312183e-02 5.137530109592312183e-02 2.384495336543466792e-01 2.464380366400992228e-01 7.413804107848953606e-01 9.321869411395451444e-01 7.413804107848962488e-01 2.464380366400979738e-01 2.384495336543455135e-01 5.137530109592260835e-02 5.137530109592260835e-02
4.889084329505820337e-02 4.889084329505820337e-02 2.588354639824380077e-01 2.819822603014455198e-01 7.135628320137905600e-01 9.289361340925100796e-01 7.135628320137915592e-01 2.819822603014441875e-01 2.588354639824368419e-01 4.889084329505767601e-02 4.889084329505767601e-02
4.976363383411787356e-02 4.976363383411787356e-02 2.817200026569222637e-01 3.183506172772461729e-01 6.823112098997122787e-01 9.221487089935953563e-01 6.823112098997136110e-01 3.183506172772445075e-01 2.817200026569208759e-01 4.976363383411726987e-02 4.976363383411726987e-02
5.542383398877216705e-02 5.542383398877216705e-02 3.076203268685909209e-01 3.557333116749235025e-01 6.472280110020237620e-01 9.109557657861936386e-01 6.472280110020248722e-01 3.557333116749213930e-01 3.076203268685892556e-01 5.542383398877147316e-02 5.542383398877147316e-02
6.665552100024023374e-02 6.665552100024023374e-02 3.361166063004220605e-01 3.942949152301563065e-01 6.086745448041983586e-01 8.951223771499099424e-01 6.086745448041996909e-01 3.942949152301540305e-01 3.361166063004201732e-01 6.665552100023941495e-02 6.665552100023941495e-02
8.351294467898817686e-02 8.351294467898817686e-02 3.658724444324716885e-01 4.340189436895107167e-01 5.676898523481128667e-01 8.750322461039635735e-01 5.676898523481145320e-01 4.340189436895079966e-01 3.658724444324695235e-01 8.351294467898714990e-02 8.351294467898714990e-02
1.053779188319096255e-01 1.053779188319096255e-01 3.948678421266916816e-01 4.745766556450042861e-01 5.257715862691395570e-01 8.515619236882104870e-01 5.257715862691414443e-01 4.745766556450012330e-01 3.948678421266893501e-01 1.053779188319082794e-01 1.053779188319082794e-01
1.311369725511832285e-01 1.311369725511832285e-01 4.207900943001938732e-01 5.152586632034878988e-01 4.845827175643788176e-01 8.258882609277173881e-01 4.845827175643804829e-01 5.152586632034844571e-01 4.207900943001914862e-01 1.311369725511816464e-01 1.311369725511816464e-01
1.594336514769667534e-01 1.594336514769667534e-01 4.414919849423427078e-01 5.549955480414843212e-01 4.456568269915761604e-01 7.992812656944376926e-01 4.456568269915779923e-01 5.549955480414805464e-01 4.414919849423400988e-01 1.594336514769648661e-01 1.594336514769648661e-01
1.889388132009404420e-01 1.889388132009404420e-01 4.554116492938012350e-01 5.924724987123661801e-01 4.101650731879844525e-01 7.729285995183741154e-01 4.101650731879860623e-01 5.924724987123621833e-01 4.554116492937987926e-01 1.889388132009382770e-01 1.889388132009382770e-01
2.185821222266423336e-01 2.185821222266423336e-01 4.618583225249069946e-01 6.263183736801514190e-01 3.787846119486537044e-01 7.478208394689853655e-01 3.787846119486549812e-01 6.263183736801470891e-01 4.618583225249045521e-01 2.185821222266399466e-01 2.185821222266399466e-01
2.477005003482800061e-01 2.477005003482800061e-01 4.611008480899632667e-01 6.553286374309504891e-01 3.516792162989789694e-01 7.247045044082852661e-01 3.516792162989800241e-01 6.553286374309463813e-01 4.611008480899611572e-01 2.477005003482773970e-01 2.477005003482773970e-01
2.760806238337393248e-01 2.760806238337393248e-01 4.542436446465659139e-01 6.786708020279976772e-01 3.285764239818639854e-01 7.040898240487658555e-01 3.285764239818646515e-01 6.786708020279933473e-01 4.542436446465638600e-01 2.760806238337366603e-01 2.760806238337366603e-01
3.038974473087857620e-01 3.038974473087857620e-01 4.429262611055572174e-01 6.960238980134942910e-01 3.089079286127163759e-01 6.862881942625470577e-01 3.089079286127165425e-01 6.960238980134900721e-01 4.429262611055554966e-01 3.038974473087828754e-01 3.038974473087828754e-01
3.315733766829002116e-01 3.315733766829002116e-01 4.289249414384834758e-01 7.076194350820000922e-01 2.919737473488512869e-01 6.714530412831717365e-01 2.919737473488511204e-01 7.076194350819962064e-01 4.289249414384819770e-01 3.315733766828969920e-01 3.315733766828969920e-01
3.595981069692230081e-01 3.595981069692230081e-01 4.137570834093673988e-01 7.141756638913194788e-01 2.770948164123208657e-01 6.596063667585828627e-01 2.770948164123202551e-01 7.141756638913157040e-01 4.137570834093661221e-01 3.595981069692195664e-01 3.595981069692195664e-01
3.883542184241568496e-01 3.883542184241568496e-01 3.983863239672568723e-01 7.167427566015587281e-01 2.637293171984904094e-01 6.506471598931363731e-01 2.637293171984892992e-01 7.167427566015551754e-01 3.983863239672556511e-01 3.883542184241531858e-01 3.883542184241531858e-01
4.179879002578203995e-01 4.179879002578203995e-01 3.830979994545014589e-01 7.164967855151538334e-01 2.515405953755610602e-01 6.443510997046089095e-01 2.515405953755596169e-01 7.164967855151505027e-01 3.830979994545001821e-01 4.179879002578166247e-01 4.179879002578166247e-01
4.483497440514860877e-01 4.483497440514860877e-01 3.675691914584977016e-01 7.145301116935275365e-01 2.404152685208977847e-01 6.403781714188518936e-01 2.404152685208959805e-01 7.145301116935244279e-01 3.675691914584965914e-01 4.483497440514822019e-01 4.483497440514822019e-01
4.790114774892134664e-01 4.790114774892134664e-01 3.511064180667227141e-01 7.116832285958246684e-01 2.304372472500966496e-01 6.383033196468433923e-01 2.304372472500947899e-01 7.116832285958220039e-01 3.511064180667218260e-01 4.790114774892093585e-01 4.790114774892093585e-01
5.093457291042834401e-01 5.093457291042834401e-01 3.329807131855520574e-01 7.084498351322330301e-01 2.218271868379550205e-01 6.376759622233983960e-01 2.218271868379530498e-01 7.084498351322304766e-01 3.329807131855511693e-01 5.093457291042792212e-01 5.093457291042792212e-01
5.386419835695932523e-01 5.386419835695932523e-01 3.127657063668729531e-01 7.049671593327728747e-01 2.148588668821634073e-01 6.381009998899693780e-01 2.148588668821612702e-01 7.049671593327706542e-01 3.127657063668719539e-01 5.386419835695890335e-01 5.386419835695890335e-01
5.662258729280067460e-01 5.662258729280067460e-01 2.905855685361874441e-01 7.010828574847072225e-01 2.097657451718145383e-01 6.393221015416754582e-01 2.097657451718123456e-01 7.010828574847047800e-01 2.905855685361862228e-01 5.662258729280025271e-01 5.662258729280025271e-01
5.915517434146239095e-01 5.915517434146239095e-01 2.672056938772574552e-01 6.964735051968820034e-01 2.066530353772447204e-01 6.412820531463762075e-01 2.066530353772426110e-01 6.964735051968796720e-01 2.672056938772562340e-01 5.915517434146195797e-01 5.915517434146195797e-01
6.142486479445796732e-01 6.142486479445796732e-01 2.439424721949521591e-01 6.907814971064408782e-01 2.054322952077476949e-01 6.441371706399843244e-01 2.054322952077456965e-01 6.907814971064384357e-01 2.439424721949507990e-01 6.142486479445754544e-01 6.142486479445754544e-01
