# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.463144227407659120e-03 2.463144227407659120e-03 4.948628125219779912e-03 2.497852503402750966e-03 9.950513348905355437e-01 9.975368270102633605e-01 9.950513348905356548e-01 2.497852503402750966e-03 4.948628125219779045e-03 2.463144227407659120e-03 2.463144227407659120e-03
9.422057688365114217e-03 9.422057688365114217e-03 1.919396009222855068e-02 9.963636709875820993e-03 9.808037437945047454e-01 9.905761516058453342e-01 9.808037437945048564e-01 9.963636709875817524e-03 1.919396009222853680e-02 9.422057688365107278e-03 9.422057688365107278e-03
1.967045155803509929e-02 1.967045155803509929e-02 4.104969800011069869e-02 2.230024390713229374e-02 9.589254388893445613e-01 9.803100692875237332e-01 9.589254388893445613e-01 2.230024390713228680e-02 4.104969800011067094e-02 1.967045155803508541e-02 1.967045155803508541e-02
3.146495290761779778e-02 3.146495290761779778e-02 6.806608760247519208e-02 3.930698517089963040e-02 9.318037587523321230e-01 9.684324522137006674e-01 9.318037587523321230e-01 3.930698517089961652e-02 6.806608760247515044e-02 3.146495290761776309e-02 3.146495290761776309e-02
4.286937099390674549e-02 4.286937099390674549e-02 9.749260567227696628e-02 6.064330817659367712e-02 9.020539742417497120e-01 9.567705821062656435e-01 9.020539742417497120e-01 6.064330817659362161e-02 9.749260567227685526e-02 4.286937099390666223e-02 4.286937099390666223e-02
5.213583689800782572e-02 5.213583689800782572e-02 1.267853744589775289e-01 8.581260268201670871e-02 8.720023783246281246e-01 9.468937107067207926e-01 8.720023783246282356e-01 8.581260268201659769e-02 1.267853744589773624e-01 5.213583689800772164e-02 5.213583689800772164e-02
5.804733577989783233e-02 5.804733577989783233e-02 1.540542768665622009e-01 1.141828580836976303e-01 8.432612466400544182e-01 9.397858515788861666e-01 8.432612466400545292e-01 1.141828580836974638e-01 1.540542768665619233e-01 5.804733577989769355e-02 5.804733577989769355e-02
6.015477786095032448e-02 6.015477786095032448e-02 1.783574539512152168e-01 1.450485793807351764e-01 8.164873280932181121e-01 9.356529914384459357e-01 8.164873280932182231e-01 1.450485793807350099e-01 1.783574539512149670e-01 6.015477786095015100e-02 6.015477786095015100e-02
5.886385986214572735e-02 5.886385986214572735e-02 1.997833536777478824e-01 1.777235446032010835e-01 7.913684338287191311e-01 9.339019053458024189e-01 7.913684338287193532e-01 1.777235446032008892e-01 1.997833536777475771e-01 5.886385986214558164e-02 5.886385986214558164e-02
