# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / layers = 100
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.497917360987121378e-03 2.522792257827228147e-03 4.983355539689597775e-03 2.522792257827225545e-03 9.950166444603097959e-01 9.974772077421721894e-01 9.950166444603100180e-01 2.522792257827225978e-03 4.983355539689589102e-03 2.522792257827218172e-03 2.497917360987107066e-03
9.574312580107121814e-03 9.672394448130106764e-03 1.934627371610177921e-02 1.006275450432937181e-02 9.806527485594067617e-01 9.903266280229162666e-01 9.806527485594064286e-01 1.006275450432936661e-02 1.934627371610176880e-02 9.672394448130108499e-03 9.574312580107116610e-03
2.005646102049423937e-02 2.027241941542650555e-02 4.143656537026894210e-02 2.252046460198152064e-02 9.585484512330949558e-01 9.797126065765224823e-01 9.585484512330948448e-01 2.252046460198145472e-02 4.143656537026876863e-02 2.027241941542638759e-02 2.005646102049413529e-02
3.223896335780061101e-02 3.261312229526475148e-02 6.884254862001114306e-02 3.969010915315818178e-02 9.310692795535877586e-01 9.672988420883827931e-01 9.310692795535876476e-01 3.969010915315808463e-02 6.884254862001067121e-02 3.261312229526439066e-02 3.223896335780025713e-02
4.420681309818555449e-02 4.477643589556130205e-02 9.883282241241107824e-02 6.122145723455679062e-02 9.008406910902170273e-01 9.548981568945852372e-01 9.008406910902170273e-01 6.122145723455688082e-02 9.883282241241078681e-02 4.477643589556094816e-02 4.420681309818520061e-02
5.419679605879721557e-02 5.499900112104744165e-02 1.288411948493211057e-01 8.660168576660437489e-02 8.702485484812456651e-01 9.440965716328834079e-01 8.702485484812459982e-01 8.660168576660448592e-02 1.288411948493214387e-01 5.499900112104762900e-02 5.419679605879739598e-02
6.092841442484410452e-02 6.200370062670979704e-02 1.568991333435138247e-01 1.151744557177476758e-01 8.410137625197117162e-01 9.359332187714177742e-01 8.410137625197118272e-01 1.151744557177472733e-01 1.568991333435133251e-01 6.200370062670972071e-02 6.092841442484403514e-02
6.384230587581829486e-02 6.523726627999973382e-02 1.819297713544099915e-01 1.462014483830396672e-01 8.139298610605028017e-01 9.307031336084908846e-01 8.139298610605031348e-01 1.462014483830390565e-01 1.819297713544090200e-01 6.523726627999938688e-02 6.384230587581796179e-02
6.320294045208901812e-02 6.497077477165526249e-02 2.038469818122895238e-01 1.789566762021579382e-01 7.888130131484245577e-01 9.279206078483863696e-01 7.888130131484246688e-01 1.789566762021575219e-01 2.038469818122884969e-01 6.497077477165472126e-02 6.320294045208849076e-02
6.004930084212037333e-02 6.224722182093016254e-02 2.234441474875268618e-01 2.128312926791094961e-01 7.646648306364540737e-01 9.264439114184653823e-01 7.646648306364544068e-01 2.128312926791089688e-01 2.234441474875260847e-01 6.224722182092991274e-02 6.004930084212016517e-02
5.600677611193412980e-02 5.869022766500397309e-02 2.421013742737046226e-01 2.474202412282166808e-01 7.400009466839513328e-01 9.247267370850502655e-01 7.400009466839513328e-01 2.474202412282161256e-01 2.421013742737036234e-01 5.869022766500381350e-02 5.600677611193396327e-02
5.299967950048596610e-02 5.621422157863647379e-02 2.613776668760069422e-01 2.825637329644048457e-01 7.132639163958051087e-01 9.211360206219783020e-01 7.132639163958049977e-01 2.825637329644044571e-01 2.613776668760061095e-01 5.621422157863658481e-02 5.299967950048610488e-02
5.292148596599270671e-02 5.669398198524629173e-02 2.825779700436456543e-01 3.183258916353340906e-01 6.832248503206834744e-01 9.142654592068668595e-01 6.832248503206829193e-01 3.183258916353342016e-01 2.825779700436454323e-01 5.669398198524645827e-02 5.292148596599285243e-02
5.732576470700959798e-02 6.165689110168418030e-02 3.063889594374786807e-01 3.549078654591250048e-01 6.492866228230999015e-01 9.031806792112087034e-01 6.492866228230987913e-01 3.549078654591252269e-01 3.063889594374784586e-01 6.165689110168437459e-02 5.732576470700987553e-02
6.719403679056970558e-02 7.205398122026461516e-02 3.326611954590624198e-01 3.925099680281666226e-01 6.116292362802595584e-01 8.875528857821861628e-01 6.116292362802581151e-01 3.925099680281671222e-01 3.326611954590623088e-01 7.205398122026501762e-02 6.719403679057020518e-02
8.281920668540770913e-02 8.814773873954620531e-02 3.603822930955851156e-01 4.311729097367509311e-01 5.711772933432210930e-01 8.676668411239512047e-01 5.711772933432197608e-01 4.311729097367517638e-01 3.603822930955844495e-01 8.814773873954721839e-02 8.281920668540881936e-02
1.038187606803930435e-01 1.095298055912443530e-01 3.878433662298454987e-01 4.706377021723652243e-01 5.294105709390635184e-01 8.443183837727918917e-01 5.294105709390625192e-01 4.706377021723653353e-01 3.878433662298448326e-01 1.095298055912451024e-01 1.038187606803938623e-01
1.292658451199144576e-01 1.352555400200933511e-01 4.129585669009278037e-01 5.102639321789188553e-01 4.880717269158384997e-01 8.186390903840830013e-01 4.880717269158377225e-01 5.102639321789184113e-01 4.129585669009267490e-01 1.352555400200936564e-01 1.292658451199148462e-01
1.579040324719157840e-01 1.640603110708812318e-01 4.336645112094746901e-01 5.490353743588576307e-01 4.488431546172300113e-01 7.918961246649200980e-01 4.488431546172290121e-01 5.490353743588572977e-01 4.336645112094738574e-01 1.640603110708817591e-01 1.579040324719163668e-01
1.883974574168217619e-01 1.946087624438748720e-01 4.483101411520331592e-01 5.856619025304419246e-01 4.130650303839794590e-01 7.653123934824405117e-01 4.130650303839781268e-01 5.856619025304410364e-01 4.483101411520314938e-01 1.946087624438752328e-01 1.883974574168221228e-01
2.195645649255277831e-01 2.257254749130495897e-01 4.559517071666060462e-01 6.187620906193235237e-01 3.815502925454798966e-01 7.399381597888576856e-01 3.815502925454786753e-01 6.187620906193226356e-01 4.559517071666043808e-01 2.257254749130500060e-01 2.195645649255282272e-01
2.505510985509128985e-01 2.565634533375145132e-01 4.564910022189709871e-01 6.470885620976569719e-01 3.545250036028789742e-01 7.165854785613277045e-01 3.545250036028780860e-01 6.470885620976555286e-01 4.564910022189688776e-01 2.565634533375147353e-01 2.505510985509133426e-01
2.809140037731936990e-01 2.866833278576845223e-01 4.506322029167406096e-01 6.697448282710189993e-01 3.316917258293442528e-01 6.958177244686416518e-01 3.316917258293440307e-01 6.697448282710176670e-01 4.506322029167384446e-01 2.866833278576845778e-01 2.809140037731937545e-01
3.106087155221239349e-01 3.160370532806354160e-01 4.396749271154272720e-01 6.863424348631785854e-01 3.123867043686193723e-01 6.779738118677909320e-01 3.123867043686191503e-01 6.863424348631772531e-01 4.396749271154254401e-01 3.160370532806356381e-01 3.106087155221243234e-01
3.398931072844495471e-01 3.448704428464099414e-01 4.251984664466875175e-01 6.970610867665876231e-01 2.957845595420084406e-01 6.632036469799389433e-01 2.957845595420077744e-01 6.970610867665855137e-01 4.251984664466846864e-01 3.448704428464102190e-01 3.398931072844498247e-01
3.691777217220476581e-01 3.735746613554624673e-01 4.087158267955115498e-01 7.025982125722639582e-01 2.810996349522738025e-01 6.514975237231745986e-01 2.810996349522733029e-01 7.025982125722617377e-01 4.087158267955081081e-01 3.735746613554635776e-01 3.691777217220484908e-01
3.988605324038813627e-01 4.025247246569200743e-01 3.913807127698784027e-01 7.040214270930995610e-01 2.677406289644930215e-01 6.427039012277488972e-01 2.677406289644920223e-01 7.040214270930977847e-01 3.913807127698754051e-01 4.025247246569210180e-01 3.988605324038824174e-01
4.291840532405271635e-01 4.319419492476829769e-01 3.738150442719503364e-01 7.025601228245546004e-01 2.553913889142181981e-01 6.365417857384045863e-01 2.553913889142179205e-01 7.025601228245538232e-01 3.738150442719468947e-01 4.319419492476851419e-01 4.291840532405291064e-01
4.601438727369723258e-01 4.618081101485493334e-01 3.560929711806095632e-01 6.993851102821708743e-01 2.440108912643411399e-01 6.326206606962544443e-01 2.440108912643398908e-01 6.993851102821696530e-01 3.560929711806062326e-01 4.618081101485510542e-01 4.601438727369738246e-01
4.914632267773663687e-01 4.918445090410280551e-01 3.378775394421074663e-01 6.954250945276311269e-01 2.337643703938006301e-01 6.304798422285744497e-01 2.337643703937983819e-01 6.954250945276292395e-01 3.378775394421050793e-01 4.918445090410277221e-01 4.914632267773658136e-01
5.226317578397824404e-01 5.215529827363494242e-01 3.186680259084229694e-01 6.912566829356165954e-01 2.249112263553003643e-01 6.296509489572623686e-01 2.249112263552973112e-01 6.912566829356137088e-01 3.186680259084214706e-01 5.215529827363473148e-01 5.226317578397805530e-01
5.529920800960759220e-01 5.503019593050573199e-01 2.980889181376311092e-01 6.870844784782399461e-01 2.176814980749341710e-01 6.297354782919789562e-01 2.176814980749307848e-01 6.870844784782363934e-01 2.980889181376294994e-01 5.503019593050548774e-01 5.529920800960735905e-01
5.818484068631145645e-01 5.774320586428463020e-01 2.761421963686669923e-01 6.828053138140699474e-01 2.121711363269843109e-01 6.304792234971980935e-01 2.121711363269806749e-01 6.828053138140668388e-01 2.761421963686653269e-01 5.774320586428449698e-01 5.818484068631132322e-01
6.085690963407145437e-01 6.023540221074055179e-01 2.533551548322821034e-01 6.781316998503403859e-01 2.082785735483107525e-01 6.318207263305355426e-01 2.082785735483067557e-01 6.781316998503373883e-01 2.533551548322807156e-01 6.023540221074037415e-01 6.085690963407127674e-01
6.326595537527671675e-01 6.246167648938599770e-01 2.307836541678383036e-01 6.727386242763564450e-01 2.056937320696500537e-01 6.338942297694049044e-01 2.056937320696455851e-01 6.727386242763526703e-01 2.307836541678375264e-01 6.246167648938568684e-01 6.326595537527637259e-01
6.537918328166277826e-01 6.439332878406903715e-01 2.098683099966722476e-01 6.663969899431526622e-01 2.039384692865825743e-01 6.369780487959165738e-01 2.039384692865776061e-01 6.663969899431481103e-01 2.098683099966712207e-01 6.439332878406858196e-01 6.537918328166232307e-01
6.717896643222673880e-01 6.601642017401315732e-01 1.921790872670011141e-01 6.590653711557630245e-01 2.024469663364122651e-01 6.413940134732898368e-01 2.024469663364072414e-01 6.590653711557588057e-01 1.921790872670001427e-01 6.601642017401272433e-01 6.717896643222629471e-01
6.865792416093279282e-01 6.732695434152684566e-01 1.791124269781536049e-01 6.509260373865755067e-01 2.006673825780442288e-01 6.473784894925221911e-01 2.006673825780389830e-01 6.509260373865715099e-01 1.791124269781518841e-01 6.732695434152634606e-01 6.865792416093230432e-01
6.981240576818027455e-01 6.832467359255924855e-01 1.716171300365541275e-01 6.423666750137185799e-01 1.981629984277301360e-01 6.549561470960331144e-01 1.981629984277256118e-01 6.423666750137152492e-01 1.716171300365517960e-01 6.832467359255880446e-01 6.981240576817980825e-01
7.063646593294425902e-01 6.900744382490434647e-01 1.700177656840713980e-01 6.339214794455630964e-01 1.946920729369230330e-01 6.638507230651087276e-01 1.946920729369192304e-01 6.339214794455598767e-01 1.700177656840681228e-01 6.900744382490380247e-01 7.063646593294370390e-01
7.111810812071041044e-01 6.936785669599597748e-01 1.739793747877143026e-01 6.261914476448746658e-01 1.902502278844280803e-01 6.734608530229909684e-01 1.902502278844249717e-01 6.261914476448724454e-01 1.739793747877098340e-01 6.936785669599541126e-01 7.111810812070982202e-01
7.123881383613750451e-01 6.939292601912920855e-01 1.826211988767235395e-01 6.197632512882802480e-01 1.850664676495998584e-01 6.829143919621902814e-01 1.850664676495976102e-01 6.197632512882780276e-01 1.826211988767183492e-01 6.939292601912854241e-01 7.123881383613680507e-01
