# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / layers = 100
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.497917360987118775e-03 2.497917360987118775e-03 4.983355539689591704e-03 2.497917360987115306e-03 9.950166444603102400e-01 9.975020826390127437e-01 9.950166444603103511e-01 2.497917360987117908e-03 4.983355539689589969e-03 2.497917360987117041e-03 2.497917360987117041e-03
9.554725731094837471e-03 9.554725731094837471e-03 1.932644850194750741e-02 9.964501653648144899e-03 9.806721418223590669e-01 9.904442481192757830e-01 9.806721418223590669e-01 9.964501653648155308e-03 1.932644850194750741e-02 9.554725731094820124e-03 9.554725731094820124e-03
1.994606335343626635e-02 1.994606335343626635e-02 4.132486869275716485e-02 2.230406250285146483e-02 9.586546621350761077e-01 9.800383042764737596e-01 9.586546621350761077e-01 2.230406250285148564e-02 4.132486869275714403e-02 1.994606335343622125e-02 1.994606335343622125e-02
3.190220677349746292e-02 3.190220677349746292e-02 6.850231637004340624e-02 3.931712556882095699e-02 9.313800894673762709e-01 9.680062895950600765e-01 9.313800894673762709e-01 3.931712556882099169e-02 6.850231637004335072e-02 3.190220677349735884e-02 3.190220677349735884e-02
4.345723075547672926e-02 4.345723075547672926e-02 9.807809209952039753e-02 6.066297044011157574e-02 9.014948983492162560e-01 9.562061972750323102e-01 9.014948983492162560e-01 6.066297044011163125e-02 9.807809209952028651e-02 4.345723075547663905e-02 4.345723075547663905e-02
5.283562607177144654e-02 5.283562607177144654e-02 1.274800140716030039e-01 8.584263315359551283e-02 8.713529361054338507e-01 9.462342286488863996e-01 8.713529361054338507e-01 8.584263315359558222e-02 1.274800140716028929e-01 5.283562607177129389e-02 5.283562607177129389e-02
5.879984866189637976e-02 5.879984866189637976e-02 1.547967429402097861e-01 1.142195372942221149e-01 8.425850779748539354e-01 9.390922657735543133e-01 8.425850779748538244e-01 1.142195372942222814e-01 1.547967429402097028e-01 5.879984866189618548e-02 5.879984866189618548e-02
6.089099792739923606e-02 6.089099792739923606e-02 1.790762237211865060e-01 1.450822748549689400e-01 8.158545067691205244e-01 9.349918733087971834e-01 8.158545067691203023e-01 1.450822748549691343e-01 1.790762237211864782e-01 6.089099792739909728e-02 6.089099792739909728e-02
5.951721105141831447e-02 5.951721105141831447e-02 2.004096463183509536e-01 1.777389234510562410e-01 7.908427511134608068e-01 9.333326195572844153e-01 7.908427511134604737e-01 1.777389234510564353e-01 2.004096463183509258e-01 5.951721105141821733e-02 5.951721105141821733e-02
5.587562808665544334e-02 5.587562808665544334e-02 2.197863491129791735e-01 2.116198191891287550e-01 7.664553994322007568e-01 9.328514883594514195e-01 7.664553994322005348e-01 2.116198191891289215e-01 2.197863491129791180e-01 5.587562808665542946e-02 5.587562808665542946e-02
5.172732528665600210e-02 5.172732528665600210e-02 2.387546733564240298e-01 2.463597872069933914e-01 7.411859447091023734e-01 9.319018415062486627e-01 7.411859447091021513e-01 2.463597872069936690e-01 2.387546733564240298e-01 5.172732528665609231e-02 5.172732528665609231e-02
4.907343019125066930e-02 4.907343019125066930e-02 2.589660595253907016e-01 2.818331598114307002e-01 7.135436139718228654e-01 9.287939188874625440e-01 7.135436139718226434e-01 2.818331598114310332e-01 2.589660595253907016e-01 4.907343019125084971e-02 4.907343019125084971e-02
4.979882449252724663e-02 4.979882449252724663e-02 2.817051501075322206e-01 3.181249831383125559e-01 6.824431815236606802e-01 9.221200115226975136e-01 6.824431815236603471e-01 3.181249831383127780e-01 2.817051501075321651e-01 4.979882449252752419e-02 4.979882449252752419e-02
5.535387088023382279e-02 5.535387088023382279e-02 3.075114017787314302e-01 3.554373870913756783e-01 6.474718758527882034e-01 9.109972912979150683e-01 6.474718758527879814e-01 3.554373870913760669e-01 3.075114017787313747e-01 5.535387088023418362e-02 5.535387088023418362e-02
6.653401414095919120e-02 6.653401414095919120e-02 3.359768334564444126e-01 3.939476890305657619e-01 6.089844755481936822e-01 8.951861329651391586e-01 6.089844755481934602e-01 3.939476890305660395e-01 3.359768334564441350e-01 6.653401414095959365e-02 6.653401414095959365e-02
8.339457938928980518e-02 8.339457938928980518e-02 3.657645190449336225e-01 4.336501540050317627e-01 5.680221143659902605e-01 8.750743287153852634e-01 5.680221143659899274e-01 4.336501540050319847e-01 3.657645190449332340e-01 8.339457938929026315e-02 8.339457938929026315e-02
1.053087816307085312e-01 1.053087816307085312e-01 3.948421821217812933e-01 4.742220550674704493e-01 5.260914038864652476e-01 8.515490859175741667e-01 5.260914038864651365e-01 4.742220550674705604e-01 3.948421821217807381e-01 1.053087816307090169e-01 1.053087816307090169e-01
1.311473390079548607e-01 1.311473390079548607e-01 4.208761621979715817e-01 5.149533421357713747e-01 4.848683217719803595e-01 8.258012341876602713e-01 4.848683217719800820e-01 5.149533421357713747e-01 4.208761621979709155e-01 1.311473390079553603e-01 1.311473390079553603e-01
1.595344789460270141e-01 1.595344789460270141e-01 4.416944413808622794e-01 5.547667208776472236e-01 4.459003747081736191e-01 7.991147260492326154e-01 4.459003747081733415e-01 5.547667208776473347e-01 4.416944413808615022e-01 1.595344789460275137e-01 1.595344789460275137e-01
1.891223508481957860e-01 1.891223508481957860e-01 4.557120228290098551e-01 5.923334493473153550e-01 4.103708175129177071e-01 7.726884889488401242e-01 4.103708175129175406e-01 5.923334493473154660e-01 4.557120228290089670e-01 1.891223508481963966e-01 1.891223508481963966e-01
2.188261751635852681e-01 2.188261751635852681e-01 4.622216356793025227e-01 6.262651000136926216e-01 3.789651769481885424e-01 7.475202732186961851e-01 3.789651769481882648e-01 6.262651000136929547e-01 4.622216356793014680e-01 2.188261751635859897e-01 2.188261751635859897e-01
2.479751538201390715e-01 2.479751538201390715e-01 4.614855133401729592e-01 6.553401344933809103e-01 3.518510192949548809e-01 7.243595966791056551e-01 3.518510192949545479e-01 6.553401344933811323e-01 4.614855133401719600e-01 2.479751538201398209e-01 2.479751538201398209e-01
2.763558003596505719e-01 2.763558003596505719e-01 4.546122075643517779e-01 6.787130365108751118e-01 3.287552146726286928e-01 7.037164618372563352e-01 3.287552146726281377e-01 6.787130365108753338e-01 4.546122075643507787e-01 2.763558003596515156e-01 2.763558003596515156e-01
3.041496169329019339e-01 3.041496169329019339e-01 4.432544091225650851e-01 6.960566096924735158e-01 3.091051666365624562e-01 6.859002210103488650e-01 3.091051666365620676e-01 6.960566096924737378e-01 4.432544091225640304e-01 3.041496169329031551e-01 3.041496169329031551e-01
3.317900622014826606e-01 3.317900622014826606e-01 4.292066664193426861e-01 7.076042173635255228e-01 2.921942317389975008e-01 6.710616956776216391e-01 2.921942317389971122e-01 7.076042173635257448e-01 4.292066664193415759e-01 3.317900622014839929e-01 3.317900622014839929e-01
3.597794308277405539e-01 3.597794308277405539e-01 4.140048771073965295e-01 7.140835087637464884e-01 2.773357059993289964e-01 6.592203794277502471e-01 2.773357059993286633e-01 7.140835087637465994e-01 4.140048771073953637e-01 3.597794308277419417e-01 3.597794308277419417e-01
3.885114723104234336e-01 3.885114723104234336e-01 3.986265533410217610e-01 7.165594470364780033e-01 2.639804865349355545e-01 6.502727882147339988e-01 2.639804865349352214e-01 7.165594470364782254e-01 3.986265533410205952e-01 3.885114723104249324e-01 3.885114723104249324e-01
4.181398042462758369e-01 4.181398042462758369e-01 3.833628325898555955e-01 7.162250964278680243e-01 2.517861503168832837e-01 6.439915953240514801e-01 2.517861503168830062e-01 7.162250964278680243e-01 3.833628325898543188e-01 4.181398042462775022e-01 4.181398042462775022e-01
4.485175403885058865e-01 4.485175403885058865e-01 3.678873096673113685e-01 7.141885637554641342e-01 2.406359605513968547e-01 6.400326110733904894e-01 2.406359605513965216e-01 7.141885637554641342e-01 3.678873096673101473e-01 4.485175403885073298e-01 4.485175403885073298e-01
4.792141724593044216e-01 4.792141724593044216e-01 3.514950310339832185e-01 7.113019202302235389e-01 2.306134361758747087e-01 6.379651919969817619e-01 2.306134361758745421e-01 7.113019202302234278e-01 3.514950310339818862e-01 4.792141724593060315e-01 4.792141724593060315e-01
5.095966324727452257e-01 5.095966324727452257e-01 3.334410183376355086e-01 7.080644714857070587e-01 2.219418953367766345e-01 6.373321990897674594e-01 2.219418953367764125e-01 7.080644714857070587e-01 3.334410183376342873e-01 5.095966324727467800e-01 5.095966324727467800e-01
5.389472590742794278e-01 5.389472590742794278e-01 3.132829994567212228e-01 7.046126784211667049e-01 2.149003756302943768e-01 6.377321559577734389e-01 2.149003756302942103e-01 7.046126784211667049e-01 3.132829994567201126e-01 5.389472590742809821e-01 5.389472590742809821e-01
5.665852301395131185e-01 5.665852301395131185e-01 2.911339652849780912e-01 7.007879824026507221e-01 2.097291528209952460e-01 6.389041223879546871e-01 2.097291528209949962e-01 7.007879824026506110e-01 2.911339652849770920e-01 5.665852301395146728e-01 5.665852301395146728e-01
5.919608270642304770e-01 5.919608270642304770e-01 2.677561905262998976e-01 6.962571765846174987e-01 2.065403155677086044e-01 6.407896251638394158e-01 2.065403155677082991e-01 6.962571765846173877e-01 2.677561905262990649e-01 5.919608270642318093e-01 5.919608270642318093e-01
6.147022621632670658e-01 6.147022621632670658e-01 2.444721801938175842e-01 6.906515875950814953e-01 2.052506533514922571e-01 6.435481632026431864e-01 2.052506533514918963e-01 6.906515875950812733e-01 2.444721801938168626e-01 6.147022621632685091e-01 6.147022621632685091e-01
