# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 10 / steps = 100
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.463144227407661289e-03 2.463144227407661289e-03 4.948628125219783382e-03 2.497852503402752267e-03 9.950513348905360989e-01 9.975368270102638046e-01 9.950513348905360989e-01 2.497852503402753568e-03 4.948628125219785984e-03 2.463144227407663023e-03 2.463144227407663023e-03
9.422057688365110747e-03 9.422057688365110747e-03 1.919396009222854721e-02 9.963636709875820993e-03 9.808037437945058556e-01 9.905761516058463334e-01 9.808037437945057446e-01 9.963636709875829667e-03 1.919396009222856456e-02 9.422057688365126360e-03 9.422057688365126360e-03
1.967045155803507500e-02 1.967045155803507500e-02 4.104969800011068481e-02 2.230024390713231108e-02 9.589254388893461156e-01 9.803100692875252875e-01 9.589254388893461156e-01 2.230024390713231802e-02 4.104969800011073339e-02 1.967045155803511663e-02 1.967045155803511663e-02
3.146495290761774921e-02 3.146495290761774921e-02 6.806608760247519208e-02 3.930698517089968591e-02 9.318037587523340104e-01 9.684324522137028879e-01 9.318037587523338994e-01 3.930698517089968591e-02 6.806608760247528922e-02 3.146495290761783942e-02 3.146495290761783942e-02
4.286937099390664835e-02 4.286937099390664835e-02 9.749260567227699403e-02 6.064330817659376732e-02 9.020539742417521545e-01 9.567705821062683080e-01 9.020539742417523765e-01 6.064330817659374651e-02 9.749260567227706342e-02 4.286937099390676631e-02 4.286937099390676631e-02
5.213583689800768001e-02 5.213583689800768001e-02 1.267853744589775289e-01 8.581260268201681973e-02 8.720023783246309002e-01 9.468937107067235681e-01 8.720023783246309002e-01 8.581260268201683361e-02 1.267853744589776954e-01 5.213583689800787430e-02 5.213583689800787430e-02
5.804733577989765192e-02 5.804733577989765192e-02 1.540542768665622564e-01 1.141828580836978108e-01 8.432612466400573048e-01 9.397858515788890532e-01 8.432612466400573048e-01 1.141828580836977969e-01 1.540542768665624229e-01 5.804733577989788784e-02 5.804733577989788784e-02
6.015477786095010937e-02 6.015477786095010937e-02 1.783574539512154111e-01 1.450485793807355095e-01 8.164873280932214428e-01 9.356529914384495994e-01 8.164873280932214428e-01 1.450485793807354540e-01 1.783574539512155499e-01 6.015477786095037305e-02 6.015477786095037305e-02
5.886385986214552613e-02 5.886385986214552613e-02 1.997833536777481600e-01 1.777235446032015553e-01 7.913684338287230169e-01 9.339019053458065267e-01 7.913684338287227948e-01 1.777235446032014721e-01 1.997833536777482433e-01 5.886385986214579674e-02 5.886385986214579674e-02
