# L = 6 / J = 1 / lamb = 0.5
# particle_position = 2
# final_time = 4 / steps = 10
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.146495290761773533e-02 3.146495290761773533e-02 6.806608760247506718e-02 3.930698517089958183e-02 9.318037587523310128e-01 9.684324522136995572e-01 9.318037587523307907e-01 3.930698517089959571e-02 6.806608760247510881e-02 3.146495290761774227e-02 3.146495290761774227e-02
6.015477786095006080e-02 6.015477786095006080e-02 1.783574539512146617e-01 1.450485793807348156e-01 8.164873280932160027e-01 9.356529914384436042e-01 8.164873280932160027e-01 1.450485793807348989e-01 1.783574539512147172e-01 6.015477786095005386e-02 6.015477786095005386e-02
4.889084329505774540e-02 4.889084329505774540e-02 2.588354639824359538e-01 2.819822603014432993e-01 7.135628320137845648e-01 9.289361340925027521e-01 7.135628320137843428e-01 2.819822603014435214e-01 2.588354639824361203e-01 4.889084329505772458e-02 4.889084329505772458e-02
8.351294467898726093e-02 8.351294467898726093e-02 3.658724444324677472e-01 4.340189436895061093e-01 5.676898523481064274e-01 8.750322461039546917e-01 5.676898523481064274e-01 4.340189436895062203e-01 3.658724444324678582e-01 8.351294467898728868e-02 8.351294467898728868e-02
1.889388132009381660e-01 1.889388132009381660e-01 4.554116492937953509e-01 5.924724987123587416e-01 4.101650731879787903e-01 7.729285995183652336e-01 4.101650731879788458e-01 5.924724987123587416e-01 4.554116492937954064e-01 1.889388132009381105e-01 1.889388132009381105e-01
3.038974473087818207e-01 3.038974473087818207e-01 4.429262611055503340e-01 6.960238980134841880e-01 3.089079286127106028e-01 6.862881942625382869e-01 3.089079286127107138e-01 6.960238980134844100e-01 4.429262611055505006e-01 3.038974473087819317e-01 3.038974473087819317e-01
4.179879002578150704e-01 4.179879002578150704e-01 3.830979994544946310e-01 7.164967855151431753e-01 2.515405953755547319e-01 6.443510997046006938e-01 2.515405953755550095e-01 7.164967855151432863e-01 3.830979994544947420e-01 4.179879002578152369e-01 4.179879002578152369e-01
5.386419835695865910e-01 5.386419835695865910e-01 3.127657063668664028e-01 7.049671593327625496e-01 2.148588668821568570e-01 6.381009998899618285e-01 2.148588668821573011e-01 7.049671593327629937e-01 3.127657063668665693e-01 5.386419835695868130e-01 5.386419835695868130e-01
6.341143458755269524e-01 6.341143458755269524e-01 2.224175542970499020e-01 6.837382548232272539e-01 2.057948443785185544e-01 6.482128156498752070e-01 2.057948443785189430e-01 6.837382548232274759e-01 2.224175542970501795e-01 6.341143458755272855e-01 6.341143458755272855e-01
6.839458302423885305e-01 6.839458302423885305e-01 1.787736878745911362e-01 6.433270590859758720e-01 2.118860322876772173e-01 6.826618861821834860e-01 2.118860322876773561e-01 6.433270590859760940e-01 1.787736878745916358e-01 6.839458302423890856e-01 6.839458302423890856e-01
